rank,start_x,end_x,start_y,end_y,local_nx,local_ny,iterations,exec_time,comm_time,overhead,final_error,iteration,neighbor,direction,n_points
0,,,,,,,,,3.4330000744375866e-06,,,82.0,2.0,right,24.0
0,,,,,,,,,3.1079998734639958e-06,,,83.0,1.0,up,24.0
0,,,,,,,,,3.2570001167187e-06,,,83.0,2.0,right,24.0
0,,,,,,,,,3.358999947522534e-06,,,84.0,1.0,up,24.0
0,,,,,,,,,2.8449999263102654e-06,,,84.0,2.0,right,24.0
0,,,,,,,,,3.6430001273402013e-06,,,85.0,1.0,up,24.0
0,,,,,,,,,1.8010000530921388e-06,,,85.0,2.0,right,24.0
0,,,,,,,,,3.4569998206279706e-06,,,86.0,1.0,up,24.0
0,,,,,,,,,1.8529999579186551e-06,,,86.0,2.0,right,24.0
0,,,,,,,,,4.723000074591255e-06,,,87.0,1.0,up,24.0
0,,,,,,,,,1.756000074237818e-06,,,87.0,2.0,right,24.0
0,,,,,,,,,3.365000338817481e-06,,,88.0,1.0,up,24.0
0,,,,,,,,,1.8430000636726618e-06,,,88.0,2.0,right,24.0
0,,,,,,,,,3.960999947594246e-06,,,89.0,1.0,up,24.0
0,,,,,,,,,2.9510001695598476e-06,,,89.0,2.0,right,24.0
0,,,,,,,,,3.473000106168911e-06,,,90.0,1.0,up,24.0
0,,,,,,,,,2.2920003175386228e-06,,,90.0,2.0,right,24.0
0,,,,,,,,,3.3809997148637194e-06,,,91.0,1.0,up,24.0
0,,,,,,,,,2.6669999897421803e-06,,,91.0,2.0,right,24.0
0,,,,,,,,,3.526999989844626e-06,,,92.0,1.0,up,24.0
0,,,,,,,,,3.961999937018845e-06,,,92.0,2.0,right,24.0
0,,,,,,,,,3.3600003916944843e-06,,,93.0,1.0,up,24.0
0,,,,,,,,,2.1760001800430473e-06,,,93.0,2.0,right,24.0
0,,,,,,,,,3.204999757144833e-06,,,94.0,1.0,up,24.0
0,,,,,,,,,1.874000190582592e-06,,,94.0,2.0,right,24.0
0,,,,,,,,,2.9510001695598476e-06,,,95.0,1.0,up,24.0
0,,,,,,,,,2.327999936824199e-06,,,95.0,2.0,right,24.0
0,,,,,,,,,3.1380000109493267e-06,,,96.0,1.0,up,24.0
0,,,,,,,,,2.0020002011733595e-06,,,96.0,2.0,right,24.0
0,,,,,,,,,2.9440002435876522e-06,,,97.0,1.0,up,24.0
0,,,,,,,,,2.8790000214939937e-06,,,97.0,2.0,right,24.0
0,,,,,,,,,2.9120001272531226e-06,,,98.0,1.0,up,24.0
0,,,,,,,,,2.6400002752779983e-06,,,98.0,2.0,right,24.0
0,,,,,,,,,4.384000021673273e-06,,,99.0,1.0,up,24.0
0,,,,,,,,,1.6190001588256564e-06,,,99.0,2.0,right,24.0
0,,,,,,,,,2.9660000109288376e-06,,,100.0,1.0,up,24.0
0,,,,,,,,,2.5949998416763265e-06,,,100.0,2.0,right,24.0
0,,,,,,,,,3.0810001589998137e-06,,,101.0,1.0,up,24.0
0,,,,,,,,,3.035999725398142e-06,,,101.0,2.0,right,24.0
0,,,,,,,,,2.835000032064272e-06,,,102.0,1.0,up,24.0
0,,,,,,,,,3.0020000849617645e-06,,,102.0,2.0,right,24.0
0,,,,,,,,,3.068999831157271e-06,,,103.0,1.0,up,24.0
0,,,,,,,,,2.379999841650715e-06,,,103.0,2.0,right,24.0
0,,,,,,,,,3.1709996619611047e-06,,,104.0,1.0,up,24.0
0,,,,,,,,,3.5709999792743474e-06,,,104.0,2.0,right,24.0
0,,,,,,,,,2.9120001272531226e-06,,,105.0,1.0,up,24.0
0,,,,,,,,,3.0900000638212077e-06,,,105.0,2.0,right,24.0
0,,,,,,,,,3.13300006382633e-06,,,106.0,1.0,up,24.0
0,,,,,,,,,2.165999831049703e-06,,,106.0,2.0,right,24.0
0,,,,,,,,,3.44299996868358e-06,,,107.0,1.0,up,24.0
0,,,,,,,,,2.3030002012092154e-06,,,107.0,2.0,right,24.0
0,,,,,,,,,6.159999884403078e-06,,,108.0,1.0,up,24.0
0,,,,,,,,,2.6460002118255943e-06,,,108.0,2.0,right,24.0
0,,,,,,,,,4.606999937095679e-06,,,109.0,1.0,up,24.0
0,,,,,,,,,1.3440999737213133e-05,,,109.0,2.0,right,24.0
0,,,,,,,,,1.58210000336112e-05,,,110.0,1.0,up,24.0
0,,,,,,,,,1.8720002117333934e-06,,,110.0,2.0,right,24.0
0,,,,,,,,,6.150999979581684e-06,,,111.0,1.0,up,24.0
0,,,,,,,,,3.328999810037203e-06,,,111.0,2.0,right,24.0
0,,,,,,,,,4.084000011062017e-06,,,112.0,1.0,up,24.0
0,,,,,,,,,1.0642000233929139e-05,,,112.0,2.0,right,24.0
0,,,,,,,,,5.278000116959447e-06,,,113.0,1.0,up,24.0
0,,,,,,,,,1.0373000350227812e-05,,,113.0,2.0,right,24.0
0,,,,,,,,,7.151999852794688e-06,,,114.0,1.0,up,24.0
0,,,,,,,,,7.442999958584551e-06,,,114.0,2.0,right,24.0
0,,,,,,,,,7.326000286411727e-06,,,115.0,1.0,up,24.0
0,,,,,,,,,3.739000021596439e-06,,,115.0,2.0,right,24.0
0,,,,,,,,,4.34200001109275e-06,,,116.0,1.0,up,24.0
