rank,start_x,end_x,start_y,end_y,local_nx,local_ny,iterations,exec_time,comm_time,overhead,final_error,U,iteration,neighbor,direction,n_points
0,,,,,,,,,4.348999937064946e-06,,,,42.0,2.0,right,24.0
0,,,,,,,,,1.4348999684443697e-05,,,,43.0,1.0,up,24.0
0,,,,,,,,,3.756999831239227e-06,,,,43.0,2.0,right,24.0
0,,,,,,,,,1.927700031956192e-05,,,,44.0,1.0,up,24.0
0,,,,,,,,,4.520000402408186e-06,,,,44.0,2.0,right,24.0
0,,,,,,,,,1.2867999885202153e-05,,,,45.0,1.0,up,24.0
0,,,,,,,,,3.824000032182084e-06,,,,45.0,2.0,right,24.0
0,,,,,,,,,1.8731000182015123e-05,,,,46.0,1.0,up,24.0
0,,,,,,,,,3.835000370600028e-06,,,,46.0,2.0,right,24.0
0,,,,,,,,,1.2420000075508142e-05,,,,47.0,1.0,up,24.0
0,,,,,,,,,4.5409997255774215e-06,,,,47.0,2.0,right,24.0
0,,,,,,,,,1.5424000139319105e-05,,,,48.0,1.0,up,24.0
0,,,,,,,,,4.068999714945676e-06,,,,48.0,2.0,right,24.0
0,,,,,,,,,2.0777999907295452e-05,,,,49.0,1.0,up,24.0
0,,,,,,,,,1.629999997021514e-05,,,,49.0,2.0,right,24.0
0,,,,,,,,,1.4724000266141957e-05,,,,50.0,1.0,up,24.0
0,,,,,,,,,9.642000350140734e-06,,,,50.0,2.0,right,24.0
0,,,,,,,,,1.4230000033421675e-05,,,,51.0,1.0,up,24.0
0,,,,,,,,,3.9629999264434446e-06,,,,51.0,2.0,right,24.0
0,,,,,,,,,1.7097000181820476e-05,,,,52.0,1.0,up,24.0
0,,,,,,,,,4.907999937131535e-06,,,,52.0,2.0,right,24.0
0,,,,,,,,,1.4646999716205755e-05,,,,53.0,1.0,up,24.0
0,,,,,,,,,3.7340000744734425e-06,,,,53.0,2.0,right,24.0
0,,,,,,,,,1.633199963180232e-05,,,,54.0,1.0,up,24.0
0,,,,,,,,,4.451999757293379e-06,,,,54.0,2.0,right,24.0
0,,,,,,,,,1.2015999800496502e-05,,,,55.0,1.0,up,24.0
0,,,,,,,,,3.35000004270114e-06,,,,55.0,2.0,right,24.0
0,,,,,,,,,1.4667999948869692e-05,,,,56.0,1.0,up,24.0
0,,,,,,,,,4.805000116903102e-06,,,,56.0,2.0,right,24.0
0,,,,,,,,,1.7981999917537905e-05,,,,57.0,1.0,up,24.0
0,,,,,,,,,1.2497000170696992e-05,,,,57.0,2.0,right,24.0
0,,,,,,,,,1.322900016020867e-05,,,,58.0,1.0,up,24.0
0,,,,,,,,,7.030000233498868e-06,,,,58.0,2.0,right,24.0
0,,,,,,,,,1.200399992740131e-05,,,,59.0,1.0,up,24.0
0,,,,,,,,,7.389000074908836e-06,,,,59.0,2.0,right,24.0
0,,,,,,,,,1.2638000043807551e-05,,,,60.0,1.0,up,24.0
0,,,,,,,,,6.105000011302764e-06,,,,60.0,2.0,right,24.0
0,,,,,,,,,1.3984000361233484e-05,,,,61.0,1.0,up,24.0
0,,,,,,,,,7.184999958553817e-06,,,,61.0,2.0,right,24.0
0,,,,,,,,,1.642300003368291e-05,,,,62.0,1.0,up,24.0
0,,,,,,,,,4.146999799559126e-06,,,,62.0,2.0,right,24.0
0,,,,,,,,,1.3853999917046167e-05,,,,63.0,1.0,up,24.0
0,,,,,,,,,7.203000222943956e-06,,,,63.0,2.0,right,24.0
0,,,,,,,,,1.9313999928272096e-05,,,,64.0,1.0,up,24.0
0,,,,,,,,,7.712000297033228e-06,,,,64.0,2.0,right,24.0
0,,,,,,,,,1.3349000255402643e-05,,,,65.0,1.0,up,24.0
0,,,,,,,,,4.55899998996756e-06,,,,65.0,2.0,right,24.0
0,,,,,,,,,1.6339000012521865e-05,,,,66.0,1.0,up,24.0
0,,,,,,,,,3.7710001379309688e-06,,,,66.0,2.0,right,24.0
0,,,,,,,,,1.420600028723129e-05,,,,67.0,1.0,up,24.0
0,,,,,,,,,3.73800003217184e-06,,,,67.0,2.0,right,24.0
0,,,,,,,,,1.4426000234379899e-05,,,,68.0,1.0,up,24.0
0,,,,,,,,,6.562999715242768e-06,,,,68.0,2.0,right,24.0
0,,,,,,,,,2.0524000319710467e-05,,,,69.0,1.0,up,24.0
0,,,,,,,,,5.023000085202511e-06,,,,69.0,2.0,right,24.0
0,,,,,,,,,1.71370002135518e-05,,,,70.0,1.0,up,24.0
0,,,,,,,,,4.063999767822679e-06,,,,70.0,2.0,right,24.0
0,,,,,,,,,1.2828999842895428e-05,,,,71.0,1.0,up,24.0
0,,,,,,,,,4.2219999158987775e-06,,,,71.0,2.0,right,24.0
0,,,,,,,,,2.24089999392163e-05,,,,72.0,1.0,up,24.0
0,,,,,,,,,4.5020001380180474e-06,,,,72.0,2.0,right,24.0
0,,,,,,,,,1.3549999948736513e-05,,,,73.0,1.0,up,24.0
0,,,,,,,,,3.7579998206638265e-06,,,,73.0,2.0,right,24.0
0,,,,,,,,,1.5222999991237884e-05,,,,74.0,1.0,up,24.0
0,,,,,,,,,4.042000000481494e-06,,,,74.0,2.0,right,24.0
0,,,,,,,,,1.7086000298149884e-05,,,,75.0,1.0,up,24.0
0,,,,,,,,,4.412999714986654e-06,,,,75.0,2.0,right,24.0
0,,,,,,,,,1.3157000012142817e-05,,,,76.0,1.0,up,24.0
0,,,,,,,,,4.2279998524463736e-06,,,,76.0,2.0,right,24.0
0,,,,,,,,,1.9580999833124224e-05,,,,77.0,1.0,up,24.0
0,,,,,,,,,4.384000021673273e-06,,,,77.0,2.0,right,24.0
0,,,,,,,,,1.4163999821903417e-05,,,,78.0,1.0,up,24.0
0,,,,,,,,,3.7590002648357768e-06,,,,78.0,2.0,right,24.0
0,,,,,,,,,1.625400000193622e-05,,,,79.0,1.0,up,24.0
0,,,,,,,,,4.014999831269961e-06,,,,79.0,2.0,right,24.0
0,,,,,,,,,1.1327999800414545e-05,,,,80.0,1.0,up,24.0
0,,,,,,,,,1.1433000054239528e-05,,,,80.0,2.0,right,24.0
0,,,,,,,,,1.3123999906383688e-05,,,,81.0,1.0,up,24.0
0,,,,,,,,,4.234999778418569e-06,,,,81.0,2.0,right,24.0
0,,,,,,,,,2.056299990726984e-05,,,,82.0,1.0,up,24.0
0,,,,,,,,,5.075999979453627e-06,,,,82.0,2.0,right,24.0
0,,,,,,,,,1.3379999927565223e-05,,,,83.0,1.0,up,24.0
0,,,,,,,,,3.5440002648101654e-06,,,,83.0,2.0,right,24.0
0,,,,,,,,,2.217799965364975e-05,,,,84.0,1.0,up,24.0
0,,,,,,,,,4.124000042793341e-06,,,,84.0,2.0,right,24.0
0,,,,,,,,,1.1727000128303189e-05,,,,85.0,1.0,up,24.0
0,,,,,,,,,3.5230000321462285e-06,,,,85.0,2.0,right,24.0
0,,,,,,,,,1.4275000012275996e-05,,,,86.0,1.0,up,24.0
0,,,,,,,,,3.943999672628706e-06,,,,86.0,2.0,right,24.0
0,,,,,,,,,2.1953000214125495e-05,,,,87.0,1.0,up,24.0
0,,,,,,,,,4.551000074570766e-06,,,,87.0,2.0,right,24.0
0,,,,,,,,,1.3767999917035922e-05,,,,88.0,1.0,up,24.0
0,,,,,,,,,4.116000127396546e-06,,,,88.0,2.0,right,24.0
0,,,,,,,,,1.4101000033406308e-05,,,,89.0,1.0,up,24.0
0,,,,,,,,,4.476999947655713e-06,,,,89.0,2.0,right,24.0
0,,,,,,,,,1.1211000128241722e-05,,,,90.0,1.0,up,24.0
0,,,,,,,,,9.083999884751393e-06,,,,90.0,2.0,right,24.0
0,,,,,,,,,1.4334000297822058e-05,,,,91.0,1.0,up,24.0
0,,,,,,,,,4.368999725556932e-06,,,,91.0,2.0,right,24.0
0,,,,,,,,,2.2442999579652678e-05,,,,92.0,1.0,up,24.0
0,,,,,,,,,4.194000212009996e-06,,,,92.0,2.0,right,24.0
0,,,,,,,,,1.4335000287246658e-05,,,,93.0,1.0,up,24.0
0,,,,,,,,,3.920000381185673e-06,,,,93.0,2.0,right,24.0
0,,,,,,,,,1.4168000234349165e-05,,,,94.0,1.0,up,24.0
0,,,,,,,,,5.641999905492412e-06,,,,94.0,2.0,right,24.0
0,,,,,,,,,1.7068000033759745e-05,,,,95.0,1.0,up,24.0
0,,,,,,,,,4.763000106322579e-06,,,,95.0,2.0,right,24.0
0,,,,,,,,,1.3960999694972998e-05,,,,96.0,1.0,up,24.0
0,,,,,,,,,3.6980000004405156e-06,,,,96.0,2.0,right,24.0
0,,,,,,,,,1.3124999895808287e-05,,,,97.0,1.0,up,24.0
0,,,,,,,,,4.554000042844564e-06,,,,97.0,2.0,right,24.0
0,,,,,,,,,1.281100003325264e-05,,,,98.0,1.0,up,24.0
0,,,,,,,,,4.936999630444916e-06,,,,98.0,2.0,right,24.0
0,,,,,,,,,1.5304000044125132e-05,,,,99.0,1.0,up,24.0
0,,,,,,,,,1.0711999948398443e-05,,,,99.0,2.0,right,24.0
0,,,,,,,,,1.7356999705953058e-05,,,,100.0,1.0,up,24.0
0,,,,,,,,,4.01599982069456e-06,,,,100.0,2.0,right,24.0
0,,,,,,,,,1.3604999821836827e-05,,,,101.0,1.0,up,24.0
0,,,,,,,,,3.7610002436849754e-06,,,,101.0,2.0,right,24.0
0,,,,,,,,,1.885599976958474e-05,,,,102.0,1.0,up,24.0
0,,,,,,,,,4.3359996197978035e-06,,,,102.0,2.0,right,24.0
0,,,,,,,,,1.2153000170656014e-05,,,,103.0,1.0,up,24.0
0,,,,,,,,,4.40399981016526e-06,,,,103.0,2.0,right,24.0
0,,,,,,,,,1.384899996992317e-05,,,,104.0,1.0,up,24.0
0,,,,,,,,,3.543000275385566e-06,,,,104.0,2.0,right,24.0
0,,,,,,,,,2.568299987615319e-05,,,,105.0,1.0,up,24.0
0,,,,,,,,,3.871999979310203e-06,,,,105.0,2.0,right,24.0
0,,,,,,,,,1.4308000118035125e-05,,,,106.0,1.0,up,24.0
0,,,,,,,,,3.868000021611806e-06,,,,106.0,2.0,right,24.0
0,,,,,,,,,2.039399987552315e-05,,,,107.0,1.0,up,24.0
0,,,,,,,,,4.11100018027355e-06,,,,107.0,2.0,right,24.0
0,,,,,,,,,1.2022999726468697e-05,,,,108.0,1.0,up,24.0
0,,,,,,,,,3.989999640907627e-06,,,,108.0,2.0,right,24.0
0,,,,,,,,,1.462599993828917e-05,,,,109.0,1.0,up,24.0
0,,,,,,,,,3.5170000955986325e-06,,,,109.0,2.0,right,24.0
0,,,,,,,,,1.2663999768847134e-05,,,,110.0,1.0,up,24.0
0,,,,,,,,,8.446999800071353e-06,,,,110.0,2.0,right,24.0
0,,,,,,,,,1.6675999631843297e-05,,,,111.0,1.0,up,24.0
0,,,,,,,,,3.199000275344588e-06,,,,111.0,2.0,right,24.0
0,,,,,,,,,1.5674000223953044e-05,,,,112.0,1.0,up,24.0
0,,,,,,,,,2.8790000214939937e-06,,,,112.0,2.0,right,24.0
0,,,,,,,,,1.2240000160090858e-05,,,,113.0,1.0,up,24.0
0,,,,,,,,,5.386999873735476e-06,,,,113.0,2.0,right,24.0
0,,,,,,,,,1.952799993887311e-05,,,,114.0,1.0,up,24.0
0,,,,,,,,,4.076000095665222e-06,,,,114.0,2.0,right,24.0
0,,,,,,,,,1.3057000160188181e-05,,,,115.0,1.0,up,24.0
